거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"190,000",중개거래,2008,2024,,,개인,개인,사직동,광화문스페이스본(101동~105동),2,16,159.01,서울 강남구,9,11110,13,,
"167,000",중개거래,2008,2024,,,개인,개인,사직동,광화문스페이스본(101동~105동),2,23,136.4,서울 종로구,9,11110,11,,
"60,000",중개거래,1993,2024,,,개인,개인,창신동,창신쌍용2,2,2,64.66,서울 종로구,703,11110,11,,
"57,000",직거래,1993,2024,204,24.03.22,개인,개인,창신동,창신쌍용2,2,5,79.87,,703,11110,2,,
"60,000",중개거래,1999,2024,,,개인,개인,창신동,두산,2,13,59.95,서울 중구,232,11110,2,,
"67,000",직거래,1992,2024,101,24.03.22,개인,개인,창신동,창신쌍용1,2,27,54.7,,702,11110,11,,
"12,300",중개거래,2013,2024,,24.03.22,개인,개인,숭인동,종로중흥S클래스,2,15,17.811,서울 종로구,202-3,11110,9,,
"26,000",중개거래,1997,2024,,24.04.22,개인,개인,숭인동,도시그린빌라,2,17,44.4,서울 종로구,181-121,11110,3,,
"11,400",중개거래,2013,2024,,24.03.11,개인,개인,숭인동,종로동광모닝스카이,2,23,15.855,서울 종로구,1421-1,11110,11,,
"44,000",중개거래,1997,2024,,,개인,개인,숭인동,"동문(비동,씨동)(494-0)",2,24,59.94,서울 종로구,494,11110,5,,
"11,000",중개거래,2013,2024,,24.03.25,개인,개인,숭인동,종로동광모닝스카이,2,29,15.855,서울 종로구,1421-1,11110,15,,
"214,000",중개거래,2017,2024,,,개인,개인,홍파동,경희궁자이(2단지),2,25,84.8359,서울 종로구,199,11110,10,,
"30,000",중개거래,1971,2024,가동,24.03.07,개인,개인,행촌동,대성아파트,2,28,94.94,경기 용인시기흥구,41-1,11110,6,,
"58,350",중개거래,2019,2024,,24.03.13,법인,개인,구기동,마운틴뷰,2,15,64.39,서울 종로구,125-5,11110,3,,
"19,000",중개거래,1997,2024,,24.03.25,개인,개인,평창동,갑을아파트,2,18,32.56,서울 종로구,595,11110,12,,
"80,000",직거래,1998,2024,102,24.02.28,개인,개인,평창동,삼성,2,19,84.93,,596,11110,7,,
"108,000",중개거래,2008,2024,113,24.04.16,개인,개인,무악동,인왕산아이파크,2,17,84.858,서울 종로구,60,11110,1,,
"128,000",중개거래,2008,2024,,,개인,개인,무악동,인왕산아이파크,2,20,84.858,서울 종로구,60,11110,3,,
"97,000",중개거래,2008,2024,,,개인,개인,무악동,인왕산아이파크,2,24,59.993,서울 종로구,60,11110,5,,
